食物名称,能量,蛋白质,脂肪,碳水化合物
山药蛋,87,2.9,0.2,20.6
草石蚕,75,1.7,0,18
山药（带皮）,57,1.9,0.2,12.4
山药（去皮）,57,1.9,0.2,12.4
芋头（带皮）,56,1.3,0.2,12.7
芋头（去皮）,56,1.3,0.2,12.7
子姜（带皮）,21,0.7,0.6,3.7
子姜（去皮）,21,0.7,0.6,3.7
艾蒿,—,—,—,3.6
白花菜,—,—,—,0
白花桔梗,—,—,—,—
白沙蒿（鲜）[沙蒿],56,4.3,0.9,8.5
白沙蒿籽[沙蒿籽],412,27.9,15.1,41
白薯叶[甘薯叶],60,4.8,0.7,9
百里香,—,—,—,—
败酱[胭脂麻],69,1.5,1,17.3
扁蓄菜[竹节草],75,6,0.6,12.4
朝鲜蓟,54,2.7,0.2,10.9
刺儿菜[小蓟，蓟蓟菜],42,4.5,0.4,5.9
刺楸,—,—,—,—
达乌里胡枝子[牛枝子，豆豆苗],117,7,1,23.1
达乌里胡枝子籽[牛枝子籽，豆豆苗籽],367,36.8,8.3,41.7
大玻璃草叶[大车前],49,4.4,0.3,8.8
大巢菜[野苕子，野豌豆],63,3.8,0.5,13.6
大蓟叶[飞廉叶],38,1.5,1.4,5.5
地肤[益明，扫帚苗],65,5.2,0.8,10.4
地笋[地古牛，地瓜儿苗叶],69,4.3,0.7,13.7
豆腐柴,—,—,—,—
独行菜,19,2,—,—
独行菜(宽),—,—,—,—
胡枝子[山豆子],138,5.3,2.2,29.6
槐花[洋槐花，豆槐花],82,3.1,0.7,17
黄麻叶,42,4.7,0.3,5.8
碱蓬[棉蓬，猪毛菜],33,2.8,0.3,5.2
苦苦菜,42,2.5,0.9,6.8
轮叶党参,—,—,—,—
罗勒[兰香],26,3.8,/,4.6
马齿苋[长寿菜，瓜子菜],28,2.3,0.5,3.9
马兰头[马兰，鸡儿肠，路边菊],28,2.4,0.4,4.6
麦瓶草[米瓦罐],38,4.5,0.5,4.4
牛至,/,/,/,/
牛蒡叶,42,4.7,0.8,5.1
爬景天[石头菜],21,0.6,0.7,3.5
喷瓜,—,—,—,—
婆罗门参(白),—,—,—,—
婆罗门参(黑)[鸦葱],—,—,0.1,—
蒲公英叶[黄花苗叶，孛孛丁叶],53,4.8,1.1,7
掐不齐[鸡眼草，牛黄草],110,6.1,1.4,23.6
清明菜[鼠曲菜],49,3.1,0.6,8.9
沙参叶[白参],93,0.8,1.6,21.6
沙蓬子[沙米],349,21.5,8.1,50.6
山苦荬叶[启明菜叶],33,2.2,0.4,5.6
食用大黄,9,1.6,/,1.5
食用黄麻,22,0.9,0.1,—
酸模,17,1.7,0.2,—
汤菜,24,1.8,0.5,3.4
土三七[景天三七],48,2.1,0.7,9
歪头菜(鲜)[草豆，二叶萩],74,2.5,0.3,17.9
梧桐子[瓢儿果],560,23.6,38.8,30.1
夏枯草[铁色草],63,2.5,0.7,12.7
香椿[香椿芽],50,1.7,0.4,10.9
香茅,17,1.7,0.2,—
小旋花[狗儿蔓],60,/,0.5,15.4
鸭跖草[竹叶菜，淡竹叶],34,2.8,0.3,5.7
野葱[沙葱，麦葱],36,2.7,0.2,6.7
野韭菜[山韭],44,3.7,0.9,7.2
野菊,46,3.2,0.5,9
野蒜[小蒜，野葱],34,1,0.4,7.7
野苋菜[假苋菜],62,5.5,0.6,9.5
茵陈蒿[茵陈],65,5.6,0.4,12
榆钱,45,4.8,0.4,7.6
珍珠花菜,17,1.7,0.2,—
紫花桔梗,22,0.9,0.1,—
紫萼香茶菜,17,1.7,0.2,—
苣荬菜(尖叶)[取荬菜，苦麻子],19,2,0,—
苜蓿籽[紫苜蓿籽],359,36.4,8.7,39.9
茴芹,22,0.9,0.1,17
荞菜[野荞],13,0.7,0.2,2.7
蒌蒿,57,3.7,0.7,9
蕨菜[龙头菜，如意菜],42,1.6,0.4,9
蕨菜(脱水),302,6.6,0.9,79.7
蕨麻[鹅绒委陵菜],357,12.6,1.4,75
枸杞菜[枸杞，地骨],47,5.6,1.1,4.5
酢浆草[酸酸草，酸溜溜],66,3.1,0.5,12.4
苦苣菜[苦菜、天精菜],32,3.1,0.6,4.5
苜蓿[草头，金花菜],35,5,0.7,2.9
鱼腥草[蕺菜，臭菜],32,2.1,0.1,10.7
鱼腥草(根),63,2.1,0.1,19.5
刺五加尖,69,4.8,1,10.2
枸杞叶,34,3,1.3,5.3
灰灰菜(干，藜),312,18.3,1.5,56.2
荆芥,26,2.6,—,4.3
楤芽（嫩芽）,27,4.2,0.2,4.3
楤芽（嫩芽，煮）,27,4,0.2,4.1
艾草（叶）,43,5.2,0.3,8.7
艾草（叶，烫）,37,4.8,0.1,8.2
明日叶,57,1.4,0.8,11.9
藤三七,21,1.6,0.5,3.2
草菇[大黑头细花草],27,2.7,0.2,4.3
大红菇(干)[草质红菇],263,24.4,2.8,50.9
地衣(水浸),10,1.5,Tr,1.8
冬菇（干）[毛柄金线菌金针菇],277,17.8,1.3,64.6
猴头菇(罐装),21,2,0.2,4.9
黄蘑(干),203,16.4,1.5,40.1
黄蘑(水发),30,4.3,0.4,4.8
金针菇[(鲜)[智力菇],32,2.4,0.4,6
金针菇(罐装),26,1,Tr,6.7
口蘑(白蘑)(干),277,38.7,3.3,31.6
蘑菇(鲜蘑),24,2.7,0.1,4.1
木耳(干)[黑木耳，云耳],265,12.1,1.5,65.6
木耳(水发)[黑木耳，云耳],27,1.5,0.2,6
平菇[糙皮侧耳，青蘑],24,1.9,0.3,4.6
普中红蘑(干）,263,18.4,0.7,58.1
双孢蘑菇[洋蘑菇],26,4.2,0.1,2.7
松蘑(干)[松口蘑，松茸],207,20.3,3.2,48.2
香菇(鲜)[香蕈，冬菇],26,2.2,0.3,5.2
香菇(干)[香蕈，冬菇],274,20,1.2,61.7
香杏丁蘑(干，大),257,22.4,0.2,53.9
香杏片口蘑(干),252,33.4,1.5,37.6
羊肚菌(干)[干狼肚],321,26.9,7.1,43.7
银耳(干)[白木耳],261,10,1.4,67.3
珍珠白蘑(干),258,18.3,0.7,56.3
榛蘑(半干)[假蜜环菌],178,9.5,3.7,31.9
榛蘑(水发),53,2.8,1.1,9.4
白蘑菇[双孢蘑菇、洋蘑菇],29,3.5,0.4,3.8
北风菌[荷叶离褶伞、一窝羊],17,1.7,0.1,2.9
草菇[大黑头细花草、稻菇],18,1.1,0.4,3.1
茶树菇(干)[柱状田头菇、油茶菇],309,23.1,2.6,56.1
干巴菌,38,3.8,0.4,8
红奶浆菌[多汁乳菇、谷熟菌],18,1.5,0.4,3.3
黄蘑(干),284,24.6,6.4,46.9
黄伞菇(干)[多脂鳞伞、黄丝菌],294,22.8,3.2,57.5
鸡腿菇(干)[毛头鬼伞],294,26.7,2,51.8
鸡油菌[黄丝菌、杏菌],26,2,0.3,5.1
鸡枞[蚁枞、伞把菇、鸡枞菌],19,2.5,0.2,2.5
鸡枞(干),297,32.8,3.7,44.8
鸡枞(油炸)[油鸡枞],646,4.8,66.3,10.2
鸡枞花,18,2.3,0.3,1.8
牛肝菌(白)[美味牛肝菌],35,4,0.4,4.5
牛肝菌(白、干)[美味牛肝菌],296,27.8,1.6,53.3
牛肝菌(黑)[铜色牛肝菌],32,3.6,0.2,4.8
牛肝菌（黄皮牛肝菌，鲜)[黄皮疣柄牛肝菌、黄癞头],32,4.3,0.1,5.3
乳牛肝菌(干)[粘盖牛肝菌、松树菌],264,15.3,2.8,66
牛眼睛菌(鲜）[马勃菌],41,5.1,0.3,6.6
平菇[糙皮侧耳、青蘑],17,1.7,0.1,3.2
青头菌[变绿红菇、绿菇],20,2.7,0.1,3.1
松蘑(干)[松茸、松口蘑],273,12.5,3,66.5
杏鲍菇,35,1.3,0.1,8.3
血红菇(干),313,22.4,6.7,56
元蘑(干)[亚侧耳、冬蘑、黄蘑],245,12.3,1.5,70.3
竹荪(干)[竹笙、竹参],248,17.8,3.1,60.3
榛蘑(干)[小蜜环菌],329,17.7,10.8,54.6
蛹虫草（干）,302,23.7,Tr,60.9
白毛木耳（鲜）,45,1.2,0.1,10.6
白精灵菇（鲜）,36,2.1,0.4,6.9
柳松菇（鲜）,36,3.7,0.3,6.0
干柳松菇,286,23.5,1.9,53.5
花菇（鲜）,52,3.6,0.1,10.7
干花菇,317,17.0,1.1,67.4
干白花菇,310,18.7,1.1,64.5
干钮扣菇,325,24.6,2.7,60.9
姬松茸（鲜）,40,4.0,0.4,6.9
干姬松茸,294,34.0,2.7,46.7
秀珍菇（鲜）,28,3.3,0.1,4.6
天喜菇（鲜）,26,4.5,0.5,2.5
白蚝菇（鲜）,33,2.2,0.3,6.4
玫瑰菇（鲜）,35,4.5,0.1,5.6
杏香菇（鲜）,26,2.7,0.1,4.6
珊瑚菇（鲜）,33,4.0,0.2,5.2
蚝菇（鲜）,26,2.1,0.3,4.8
鲍鱼菇（鲜）,22,1.7,0.2,4.0
华翠菇（鲜）,29,2.5,0.2,5.1
滑菇（鲜）,27,2.6,0.2,4.7
舞菇（鲜）,28,1.4,0.1,5.8
鸿喜菇（鲜）,30,2.9,0.1,5.3
美白菇（鲜）,27,2.4,0.3,4.8
白茯苓，干,316,1.0,0.2,79.9
猴头菇（鲜）,30,2.1,0.2,5.9
干猴头菇,311,12.3,3.4,64.3
松茸白菇（鲜）,38,5.1,0.5,5.3
金喜菇（鲜）,39,2.7,0.2,7.7
喜来菇（鲜）,37,3.5,0.4,6.3
富珍茸（鲜）,37,3.0,0.4,6.8
褐菇US,22,2.5,0.1,4.3
秀珍菇US,33,3.3,0.4,6.1
鸡腿菇【毛头鬼伞】,294,26.7,2,51.8
红菇（水发）,31,2.9,0.3,6
冬菇（水发）,32,2,0.1,7.4
子姜（带皮）,21,0.7,0.6,3.7
子姜（去皮）,21,0.7,0.6,3.7
银耳（水发）,31,1.2,0.2,7.9
茶树菇（水发）,35,2.6,0.3,6.4
松蘑（水发）,31,1.4,0.3,7.4
发菜(干)[仙菜],259,20.2,0.5,60.8
海带[江白菜](鲜),13,1.2,0.1,2.1
海带[江白菜，昆布],90,1.8,0.1,23.4
海带(浸)[江白菜，昆布],16,1.1,0.1,3
海冻菜[石花菜，冻菜](干),314,5.4,0.1,72.9
琼脂[紫菜胶洋粉],311,1.1,0.2,76.3
苔菜(干)[苔条，条浒苔],167,19,0.4,26.3
紫菜(干),250,26.7,1.1,44.1
螺旋藻(干),358,64.7,3.1,18.2
裙带菜(干)[海芥菜、海木耳],219,25,1.7,41.5
海带菜（鲜，姑香牌),112,1.4,7.5,15.3
麒麟菜,41,1.0,0.0,9.9
干海茸芯,254,8.4,0.2,59.1
海带卷（生）,14,0.7,0.2,2.8
海带茸（生）,29,1.1,0.0,6.5
海带梗（生）,14,0.4,0.0,3.2
海带结（生）,17,0.8,0.1,3.6
凤尾藻（干）,213,11.7,1.3,43.9
紫菜（水发）,36,3.8,0.2,6.3
裙带菜（水发）,97,11,0.7,18.3
苹果(代表值),53,0.4,0.2,13.7
伏苹果,48,0.5,0.1,11.8
国光苹果,56,0.3,0.3,13.3
旱苹果,34,0.4,0.2,8.4
红富士苹果,49,0.7,0.4,11.7
红香蕉苹果,51,0.4,0.2,12.3
红星苹果,58,0.4,0.1,14.3
红玉苹果,52,0.2,0.2,14.7
红元帅苹果,60,0.2,0.4,14.3
黄香蕉苹果,53,0.3,0.2,13.7
黄元帅苹果,59,0.2,0.3,14.7
金元帅苹果,53,0.2,0.1,13.3
青香蕉苹果,52,0.3,0.1,13.1
秋里蒙苹果,43,0.2,0.2,11.9
香玉苹果,62,0.5,0.1,15.7
印度苹果,54,0.6,0.2,14.8
祝光苹果,50,0.4,0.1,12.5
倭锦苹果,54,0.2,0.2,13.6
苹果(罐头),41,0.2,0.2,10.3
梨(代表值),51,0.3,0.1,13.1
梨（巴梨）,51,0.4,0.2,12.9
长把梨,62,0.8,0.8,14.9
冬果梨,46,0.4,0.2,12.8
鹅黄梨,41,0.3,0.1,10.7
红肖梨,36,0.2,Tr,10.5
锦丰梨,51,0.2,0.1,13.9
京白梨,57,0.2,0.5,13.7
库尔勒梨,42,0.1,0.1,13.4
莱阳梨,54,0.3,0.2,14.1
马蹄黄梨,50,0.3,0.1,12.5
明月梨,54,0.3,0.2,13.3
木梨,32,0.4,0.1,8.2
苹果梨,53,0.2,0.1,13.9
软梨,32,0.4,0.2,11.7
苏梅梨,77,1.2,0.2,20.5
苏木梨,52,0.6,0.3,13.1
酥梨,45,0.3,0.1,11.4
酸梨,33,0.1,0.1,9.8
香梨,51,0.3,0.1,13.6
雪花梨,42,0.2,0.1,10.6
雪梨,79,0.9,0.1,20.2
鸭广梨,60,0.6,0.2,16.5
鸭梨,45,0.2,0.2,11.1
早酥梨,50,0.2,0.2,13.6
紫酥梨,51,0.3,0.1,13.3
鳄梨,171,2,15.3,7.4
冬果梨（罐头）,56,0.3,—,15.9
梨（糖水罐头）,36,0.5,0.2,8.8
红果[山里红，大山楂],102,0.5,0.6,25.1
红果（干）,251,4.3,2.2,78.4
海棠果[楸子],76,0.3,0.2,19.2
海棠(罐头),56,0.5,0.2,13.6
沙果,70,0.4,0.1,17.8
吊蛋,65,0.8,0.4,16.8
面蛋,91,1.6,0.5,21.7
酸刺,112,2.8,0.3,25.5
蛇果,59,0.1,0.2,14.9
丰水梨,36,0.5,0.1,9.4
美国鳄梨US,160,2,14.7,8.5
国光苹果（带核带皮）,56,0.3,0.3,13.3
国光苹果（去核去皮）,56,0.3,0.3,13.3
红富士苹果（带核带皮）,49,0.7,0.4,11.7
红富士苹果（去核去皮）,49,0.7,0.4,11.7
长把梨（带核带皮）,62,0.8,0.8,14.9
长把梨（去核去皮）,62,0.8,0.8,14.9
京白梨（带核带皮）,57,0.2,0.5,13.7
京白梨（去核去皮）,57,0.2,0.5,13.7
雪梨（带核带皮）,79,0.9,0.1,20.2
雪梨（去核去皮）,79,0.9,0.1,20.2
苹果（带核带皮）,53,0.4,0.2,13.7
苹果（去核去皮）,53,0.4,0.2,13.7
梨（带核带皮）,51,0.3,0.1,13.1
梨（去核去皮）,51,0.3,0.1,13.1
桃（代表值）,42,0.6,0.1,10.1
白粉桃,26,1.3,0.1,5.5
高山白桃,42,0.7,0.2,10.1
旱久保桃,48,0.9,0.1,11.3
桃（黄桃）,56,0.5,0.1,14
金红桃,28,0.7,0.1,6.6
桃（久保桃）,42,0.6,0.1,10
蒲桃,39,0.5,0.2,10.2
庆丰桃,42,0.6,0.1,10.1
晚桃(黄),41,0.7,0.2,9.6
五月鲜桃,41,0.4,0.1,10
早桃(黄),41,0.4,0.1,10.1
蜜桃,46,0.6,0.1,11
桃(糖水罐头),60,0.3,0.2,14.5
李子,38,0.7,0.2,8.7
李子杏,37,1,0.1,8.6
梅（青梅）,34,0.9,0.9,6.2
杏,38,0.9,0.1,9.1
杏(罐头),40,0.6,0.2,9.7
杏干,338,2.7,0.4,83.2
布朗,44,0.6,0.2,10.7
西梅,42,0.7,0.1,10.3
枣（鲜）,125,1.1,0.3,30.5
枣（干）,276,3.2,0.5,67.8
枣（干，大）,317,2.1,0.4,81.1
枣（金丝小枣）,308,1.2,1.1,76.7
乐陵枣,233,3.3,0.6,57.9
密云小枣,229,3.9,0.8,55.2
黑枣(无核)[乌枣],234,1.7,0.3,57.3
黑枣（有核）,246,3.7,0.5,61.4
酒枣,148,1.6,0.2,35.7
蜜枣（椰枣）,333,1.3,0.2,84.4
冬枣,113,1.8,0.2,27.8
小枣（干）,275,2.7,0.7,66.8
酸枣,300,3.5,1.5,73.3
樱桃,46,1.1,0.2,10.2
樱桃(野，白刺),304,11.4,3.9,59.8
西梅干,211,2.4,0.2,62.3
针叶樱桃（酸）,36,0.7,0.1,9
针叶樱桃（甜）,36,0.7,0.1,9
油桃,39,0.7,0.3,10.7
白桃,38,0.6,0.1,10.2
西梅,49,0.7,0.1,12.6
加州青李,47,0.6,0.2,12
翡翠李,48,0.7,0.5,11.4
香水李,36,0.7,0.3,8.8
黑李,57,0.7,0.2,14.7
水蜜桃,40,0.9,0.1,9.9
甜蜜桃,39,0.9,0.2,9.6
白油桃,37,0.6,0.1,9.3
玫瑰桃,51,1.2,0.1,12.8
福寿桃,47,0.9,0.2,11.9
莺哥桃,42,1,0.2,10.5
蟠桃,45,0.9,0.2,11.3
红皮樱桃,75,1.2,0.3,19.1
白樱桃（红黄皮）,69,0.7,0.1,18.4
乌梅,286,6.8,2.3,76.6
黄桃（带核带皮）,56,0.5,0.1,14
黄桃（去核去皮）,56,0.5,0.1,14
蜜桃（带核带皮）,46,0.6,0.1,11
蜜桃（去核去皮）,46,0.6,0.1,11
李子（带核带皮）,38,0.7,0.2,8.7
李子（去核去皮）,38,0.7,0.2,8.7
李子杏（带核带皮）,37,1,0.1,8.6
李子杏（去核去皮）,37,1,0.1,8.6
梅（带核带皮）,34,0.9,0.9,6.2
梅（去核去皮）,34,0.9,0.9,6.2
杏（带核带皮）,38,0.9,0.1,9.1
杏（去核去皮）,38,0.9,0.1,9.1
布朗（带核带皮）,44,0.6,0.2,10.7
布朗（去核去皮）,44,0.6,0.2,10.7
西梅（带核带皮）,42,0.7,0.1,10.3
西梅（去核去皮）,42,0.7,0.1,10.3
鲜枣（带核带皮）,125,1.1,0.3,30.5
鲜枣（去核去皮）,125,1.1,0.3,30.5
红枣（带核带皮）,276,3.2,0.5,67.8
红枣（去核去皮）,276,3.2,0.5,67.8
大红枣（带核带皮）,317,2.1,0.4,81.1
大红枣（去核去皮）,317,2.1,0.4,81.1
金丝小枣（带核带皮）,308,1.2,1.1,76.7
金丝小枣（去核去皮）,308,1.2,1.1,76.7
冬枣（带核带皮）,113,1.8,0.2,27.8
冬枣（去核去皮）,113,1.8,0.2,27.8
酸枣（带核带皮）,300,3.5,1.5,73.3
酸枣（去核去皮）,300,3.5,1.5,73.3
樱桃（带核带皮）,46,1.1,0.2,10.2
樱桃（去核去皮）,46,1.1,0.2,10.2
桃（带核带皮）,42,0.6,0.1,10.1
桃（去核去皮）,42,0.6,0.1,10.1
葡萄(代表值),45,0.4,0.3,10.3
红玫瑰葡萄,42,0.4,0.2,10.7
葡萄（巨峰）,51,0.4,0.2,12
葡萄(马奶子),41,0.5,0.4,9.1
葡萄(玫瑰香),52,0.4,0.4,12.1
紫葡萄,45,0.7,0.3,10.3
葡萄干,344,2.5,0.4,83.4
石榴（代表值）,72,1.3,0.2,18.5
石榴（红粉皮）,74,1.3,0.1,19.4
石榴（玛瑙）,72,1.6,0.2,18.4
石榴（青皮）,71,1.2,0.2,18.5
柿,74,0.4,0.1,18.5
荷柿,65,0.6,0.2,17.1
磨盘柿,79,0.7,0.1,19.6
柿饼,255,1.8,0.2,62.8
桑葚（代表值）,57,1.7,0.4,13.8
桑葚(白),60,1.8,0.3,14.9
桑葚(红),55,1.6,0.4,12.9
桑葚（干）,298,21.1,6.1,54.2
醋栗[灯笼果],46,0.9,0.6,10.2
黑醋栗[黑加仑],66,1.4,0.4,15.4
沙棘,120,0.9,1.8,25.5
无花果,65,1.5,0.1,16
中华猕猴桃[毛叶猕猴桃],61,0.8,0.6,14.5
草莓[洋莓，凤阳草莓],32,1,0.2,7.1
红提子葡萄,54,0.4,0.2,13.1
无花果（干）,361,3.6,4.3,77.8
蓝莓干,280,2.7,1.9,72.5
草莓干,329,0.5,0.2,82.8
无花果干,272,3,1.1,75.3
黄心奇异果,63,1.1,0.2,14.9
通草果（果肉）,89,0.5,0.1,22
蓝靛果,55,0.7,0.6,12.8
鹅莓,51,1,0.1,13.2
通草果（果皮）,32,0.3,0.3,8.6
蓝莓,48,0.5,0.1,12.9
阳光玫瑰（带皮）,61,0.7,0.2,16.1
巴西莓（冷冻，无糖）,62,0.9,5.3,5
金黄奇异果,59,0.8,0.3,15
无子红葡萄(含皮),72,0.5,0.1,19.2
黑美人葡萄(含皮),66,0.5,0.1,17.4
金香葡萄(含皮),60,0.6,0.1,16
百香果US,97,2.2,0.7,23.4
百香果（紫）US,97,2.2,0.7,23.4
覆盆子US,52,1.2,0.6,11.9
黑莓US,43,1.4,0.5,9.6
蓝莓US,57,0.7,0.3,14.5
猕猴桃（绿色）US,61,1.1,0.5,14.7
覆盆子(干),242,9.7,4.7,70
山莓,52,1.2,/,/
巨峰葡萄（去皮去籽）,51,0.4,0.2,12
马奶子葡萄（去皮去籽）,41,0.5,0.4,9.1
玫瑰香葡萄（去皮去籽）,52,0.4,0.4,12.1
柿（带皮带核）,74,0.4,0.1,18.5
柿（去皮去核）,74,0.4,0.1,18.5
猕猴桃（带皮）,61,0.8,0.6,14.5
猕猴桃（去皮）,61,0.8,0.6,14.5
红提子葡萄（去核去皮）,54,0.4,0.2,13.1
葡萄（去皮去籽）,45,0.4,0.3,10.3
石榴（带皮带籽）,72,1.3,0.2,18.5
石榴（去皮去籽）,72,1.3,0.2,18.5
橙,48,0.8,0.2,11.1
福橘,46,1,0.2,10.3
橘柑子[宽皮桂],44,0.8,0.1,10.2
橘(金橘)[金枣],58,1,0.2,13.7
芦橘,44,0.6,0.2,10.3
蜜橘,45,0.8,0.4,10.3
三湖红橘,43,0.8,0.3,10
橘（四川红橘）,42,0.7,0.1,9.8
小叶橘,40,1.1,0.2,8.8
早橘,57,1.2,0.2,12.6
橘饼,371,0.6,0.4,92.9
柚[文旦],42,0.8,0.2,9.5
柠檬,37,1.1,1.2,6.2
葡萄柚[西柚],33,0.7,0.3,7.8
葡萄柚[西柚],40,0.7,0.1,10
爱媛橙（果肉）,50,0.8,0.2,11.7
不知火柑（果肉）,56,0.8,0.2,12.9
瓦伦西亚橙（果肉）,42,1,0.1,9.8
春见耙耙柑（果肉）,52,0.9,0.2,12.1
椪柑（果肉）,42,0.9,0.1,9.9
三宝柑（果肉）,47,0.7,0.3,10.9
甜柚（果肉）,43,0.8,0.1,10.1
夏橙（果肉）,42,0.9,0.1,10
宜兴蜜柑（果肉）,50,0.9,0.1,11.8
温州蜜柑（果肉，早熟）,49,0.5,0.1,11.9
温州蜜柑（果肉，普通）,49,0.7,0.1,12
椪柑,40,0.8,0.2,10
红柑,42,0.8,0.1,10.6
茂谷柑,44,0.6,0.1,11.5
海梨桶柑,44,0.9,0.2,11
高墙桶柑,45,0.8,0,11.8
柠檬柑,48,1.1,0.1,12.2
长果金柑,56,1,0.2,14.1
圆果金柑,32,0.7,0.2,7.6
柳橙,44,0.8,0.1,11
橙（带皮带籽）,48,0.8,0.2,11.1
橙（去皮去籽）,48,0.8,0.2,11.1
福橘（带皮带籽）,46,1,0.2,10.3
福橘（去皮去籽）,46,1,0.2,10.3
金橘（带皮带籽）,58,1,0.2,13.7
金橘（去皮去籽）,58,1,0.2,13.7
芦橘（带皮带籽）,44,0.6,0.2,10.3
芦橘（去皮去籽）,44,0.6,0.2,10.3
蜜橘（带皮带籽）,45,0.8,0.4,10.3
蜜橘（去皮去籽）,45,0.8,0.4,10.3
小叶橘（带皮带籽）,40,1.1,0.2,8.8
小叶橘（去皮去籽）,40,1.1,0.2,8.8
柚（带皮带籽）,42,0.8,0.2,9.5
柚（去皮去籽）,42,0.8,0.2,9.5
柠檬（带皮带籽）,37,1.1,1.2,6.2
柠檬（去皮去籽）,37,1.1,1.2,6.2
葡萄柚（带皮带籽）,40,0.7,0.1,10
葡萄柚（去皮去籽）,40,0.7,0.1,10
芭蕉[甘蕉，板蕉，牙蕉],115,1.2,0.1,28.9
菠萝[凤梨，地菠萝],44,0.5,0.1,10.8
菠萝蜜[木菠萝],105,0.2,0.3,25.7
刺梨[茨梨，木梨子],63,0.7,0.1,16.9
番石榴[鸡矢果，番桃],53,1.1,0.4,14.2
桂圆,71,1.2,0.1,16.6
桂圆(干),277,5,0.2,64.8
桂圆肉,317,4.6,1,73.5
黄皮果,39,1.6,0.2,9.9
荔枝,71,0.9,0.2,16.6
芒果[抹猛果，望果],35,0.6,0.2,8.3
木瓜[番木瓜],29,0.4,0.1,7
人参果,86,0.6,0.7,21.2
杨梅[树梅，山杨梅],30,0.8,0.2,6.7
杨桃,31,0.6,0.2,7.4
椰子,241,4,12.1,31.3
枇杷,41,0.8,0.2,9.3
橄榄(白榄),57,0.8,0.2,15.1
余柑子[油柑子],45,0.3,0.1,12.4
桂圆(干),319,5.6,0.2,76.2
红毛丹,82,1,1.2,17.5
火龙果[仙蜜果、红龙果],55,1.1,0.2,13.3
荔枝（干）,328,4.5,1.2,77.4
榴莲,150,2.6,3.3,28.3
芒果（大头）,52,0.5,0.1,12.9
木瓜[番木瓜]（云南）,30,0.6,0,7.2
酸木瓜,41,0.3,0.2,11.1
蒲桃[香果、水石榴],41,0.6,Tr,10.1
山竹,72,0.4,0.2,18
香蕉（红皮）,86,1.1,0.2,20.8
香蕉（红皮）,81,1.1,0.2,19.7
香蕉[甘蕉],93,1.4,0.2,22
香蕉干,314,3.8,0.4,78.5
椰奶,157,1.9,16,2.8
椰果,80,0,0,20.2
芒果干,339,3.1,0.7,84.9
释迦果,81,1.8,0.4,19.4
椰子水,22,0.2,0.1,5
红宝石莲雾,33,0.3,0.3,8.1
黑金刚莲雾,34,0.5,0.1,8.8
黑珍珠莲雾,39,0.4,0.1,10.2
肯特芒果,49,0.5,0.2,12.7
海登芒果,60,0.4,0.2,15.7
凯特芒果,50,1.1,0.2,12.5
爱文芒果,42,0.4,0.2,11
圣心芒果,50,0.5,0.2,12.9
黑香芒果,66,0.8,0.3,16.9
玉文芒果,62,0.5,0.3,16.1
金煌芒果,52,0.8,0.2,13
金蜜芒果,64,0.6,0.4,16.3
金兴芒果,41,0.6,0.1,10.6
香水芒果,65,0.6,0.2,17.1
莲花芒果,47,0.4,0.2,12.2
芒果干,334,0.6,1,90
玉荷包荔枝,68,1.2,0.2,17.3
黑叶荔枝,62,0.9,0.2,15.8
蛋黄果,106,1.4,0.3,27.3
罗望子US,239,2.8,0.6,62.5
菠萝罐头（欢乐家）,50,0,0,12.4
菠萝（去皮）,44,0.5,0.1,10.8
菠萝蜜（去皮）,105,0.2,0.3,25.7
荔枝（带皮带核）,71,0.9,0.2,16.6
荔枝（去皮去核）,71,0.9,0.2,16.6
芒果（带皮带核）,35,0.6,0.2,8.3
芒果肉,35,0.6,0.2,8.3
木瓜（带皮带籽）,29,0.4,0.1,7
木瓜肉,29,0.4,0.1,7
人参果（带皮）,86,0.6,0.7,21.2
人参果肉,86,0.6,0.7,21.2
杨梅（带核）,30,0.8,0.2,6.7
杨梅（去核）,30,0.8,0.2,6.7
杨桃（带皮带籽）,31,0.6,0.2,7.4
杨桃（去皮去籽）,31,0.6,0.2,7.4
椰子肉,241,4,12.1,31.3
枇杷（带皮带核）,41,0.8,0.2,9.3
枇杷（去皮去核）,41,0.8,0.2,9.3
红毛丹（带皮带核）,82,1,1.2,17.5
红毛丹（去皮去核）,82,1,1.2,17.5
火龙果（带皮）,55,1.1,0.2,13.3
火龙果（去皮）,55,1.1,0.2,13.3
榴莲（带壳）,150,2.6,3.3,28.3
榴莲肉,150,2.6,3.3,28.3
蒲桃（带皮带核）,41,0.6,tr,10.1
蒲桃（去皮去核）,41,0.6,tr,10.1
山竹（带皮带核）,72,0.4,0.2,18
山竹（去皮去核）,72,0.4,0.2,18
红皮香蕉（带皮）,81,1.1,0.2,19.7
红皮香蕉（去皮）,81,1.1,0.2,19.7
香蕉（带皮）,93,1.4,0.2,22
香蕉（去皮）,93,1.4,0.2,22
白金瓜,25,0.4,—,6.2
白兰瓜,23,0.6,0.1,5.3
哈蜜瓜,34,0.5,0.1,7.9
黄河蜜瓜,11,0.4,Tr,4
金塔寺瓜,10,0.6,0.1,2
灵蜜瓜,4,0.5,0.1,0.4
麻醉瓜,17,0.7,0.1,3.6
甜瓜[香瓜],26,0.4,0.1,6.2
西瓜(代表值),31,0.5,0.3,6.8
西瓜(京欣一号),34,0.5,Tr,8.1
