食物名称,能量,蛋白质,脂肪,碳水化合物
蚕豆淀粉,342,0.5,Tr,85.3
豌豆淀粉,342,0.6,Tr,85
玉米淀粉,346,1.2,0.1,85
团粉[芡粉],348,1.5,Tr,85.8
藕粉,373,0.2,Tr,93
桂花藕粉,344,0.4,0.1,85.3
魔芋精粉[鬼芋粉，南星粉],186,4.6,0.1,78.8
淀粉(小麦),351,0.2,0.5,86
淀粉(大米),366,0.2,0.7,89.3
淀粉(马铃薯),332,0.1,0.1,82
淀粉(甘薯),342,0.1,0.2,84.4
煎炸粉,331,12.1,1.4,73.6
粉丝,338,0.8,0.2,83.7
豌豆粉丝,368,0.4,Tr,91.7
粉条,338,0.5,0.1,84.2
魔芋粉（宅福艺）,299,0,0,73.6
紫薯,120,1.6,0.2,28
黄豆[大豆],390,35,16,34.2
黑豆[黑大豆](干),401,36,15.9,33.6
青豆[青大豆](干),398,34.5,16,35.4
黄豆,407,33.1,15.9,37.3
黄豆粉,432,32.7,18.3,37.6
豆腐花[豆腐粉],401,10,2.6,84.3
豆浆粉,426,19.7,9.4,66.8
豆奶粉(维维牌),421,19.4,9.4,65.2
豆奶粉(多力牌),405,12.3,6.5,76.4
豆奶粉(大磨牌),432,27.4,13,51.6
豆腐（代表值）,84,6.6,5.3,3.4
豆腐(内酯),50,5,1.9,3.3
豆腐脑[老豆腐],15,1.9,0.8,0
豆腐(北豆腐),116,9.2,8.1,3
豆腐(南豆腐),87,5.7,5.8,3.9
豆奶[豆乳],30,2.4,1.5,1.8
豆汁(生),10,0.9,0.1,1.4
酸豆奶,67,2.2,1.2,11.8
豆浆,31,3,1.6,1.2
豆浆(甜),34,2.4,0.5,4.9
豆腐丝,203,21.5,10.5,6.2
豆腐丝(干),451,57.7,22.8,3.7
豆腐丝(油),304,24.2,17.1,14.5
豆腐卷,203,17.9,11.6,7.2
油豆腐,245,17,17.6,4.9
腐竹,461,44.6,21.7,22.3
枝竹,478,44.4,24.7,20.8
千张[百页],262,24.5,16,5.5
