食物名称,能量,蛋白质,脂肪,碳水化合物,serving_grams
莲子蹄髈,,,,,
莲子鸡汤,,,,,
莲子红枣银耳羹,,,,,
莲蓬沙锅鸡,,,,,
莲藕煨排骨,,,,,
莲藕排骨玉米汤,,,,,
清炖莲藕排骨汤,,,,,
莲藕炖排骨,,,,,
莲藕肉片,,,,,
莲菜炒肉片,,,,,
莲,,,,,
香甜栗子粥,,,,,
栗子香菇烧茭白,,,,,
栗子烧鸭翅,,,,,
栗子焖排骨,,,,,
栗子黄焖鸡,,,,,
荔枝虾球,,,,,
荔枝肉,,,,,
荔枝鸡球,,,,,
荔浦芋头扣肉,,,,,
荔浦芋头,,,,,
芋头炒肉丝,,,,,
鲤鱼汤,,,,,
鲤鱼烧豆腐,,,,,
笋酸菜烧泥鳅,,,,,
藜蒿炒牛肉干,,,,,
篱蒿炒腊肉,,,,,
漓江啤酒鲤鱼,,,,,
冷锅鱼,,,,,
擂辣椒,,,,,
擂钵茄子,,,,,
豌豆面韭菜煎饼,,,,,
酱黄瓜炒豆腐干,,,,,
鸡蛋炒青椒黄瓜,,,,,
带鱼炖冻豆腐,,,,,
烙饼,,,,,
老油条牛肉,,,,,
老汤豆腐皮,,,,,
老式土豆酱,,,,,
老烧鱼块,,,,,
老烧青鱼,,,,,
粢饭糕米,,,,,
老陕炝莲菜,,,,,
老娘叉烧,,,,,
老妈带鱼,,,,,
老家拌苘蒿,,,,,
老黄瓜瘦肉汤,,,,,
老鸹撒,,,,,
老干妈香辣莲藕,,,,,
老干妈炒蛏子,,,,,
老醋花生米,,,,,
老醋海凉粉,,,,,
老北京炸酱面,,,,,
蒜味茄泥,,,,,
蒜泥拌茄子,,,,,
肉丁炒酱瓜,,,,,
麻酱烧饼,,,,,
老北京酱牛肉,,,,,
老北京鸡肉卷,,,,,
老北京疙瘩汤,,,,,
崂山松蘑炖鸡,,,,,
烂肉豇豆干拌面,,,,,
懒人盐水虾,,,,,
懒人泡菜,,,,,
丝瓜炒韭菜,,,,,
咸肉蒸千张,,,,,
糖醋熘排骨,,,,,
蒜蓉辣椒,,,,,
砂锅红烧肉,,,,,
奶油炖菜,,,,,
萝卜烧牛肋排,,,,,
红烧土豆鸡块,,,,,
蓝花晶鱼,,,,,
兰花蟹,,,,,
兰花豆腐,,,,,
辣子肉丁,,,,,
辣子鸡块,,,,,
辣子鸡丁,,,,,
辣子肥肠,,,,,
辣汁卤藕,,,,,
辣汁黄鳝鱼,,,,,
辣油藕片,,,,,
辣味咸鱼,,,,,
辣味鸡胸条,,,,,
辣肉沫炒豆角,,,,,
辣腊辣炒饭,,,,,
辣椒烧鸡腿,,,,,
辣椒烧鸡块,,,,,
辣椒泡菜,,,,,
辣椒木耳炒鸡蛋,,,,,
辣椒苦瓜炒肉丝,,,,,
炸辣椒,,,,,
辣椒煎鸡蛋,,,,,
辣椒煎豆腐,,,,,
辣椒煎蛋,,,,,
辣椒火腿炒鸡蛋,,,,,
辣椒炒猪蹄,,,,,
辣椒炒猪肝,,,,,
辣椒炒猪耳朵,,,,,
辣椒炒猪肚,,,,,
辣椒炒玉米,,,,,
辣椒炒鱼,,,,,
辣椒炒鱿鱼,,,,,
辣椒炒羊心,,,,,
辣椒炒鸭肠,,,,,
辣椒炒香菇,,,,,
辣椒炒香肠,,,,,
辣椒炒虾,,,,,
辣椒炒西红柿,,,,,
辣椒炒五花肉,,,,,
辣椒炒土豆丝,,,,,
辣椒炒土豆片,,,,,
辣椒炒土豆,,,,,
辣椒炒丝瓜,,,,,
辣椒炒肉丝,,,,,
辣椒炒肉片,,,,,
辣椒炒肉,,,,,
辣椒炒芹菜,,,,,
辣椒炒排骨,,,,,
辣椒炒牛肉,,,,,
辣椒炒泥鳅,,,,,
辣椒炒南瓜,,,,,
辣椒炒木耳,,,,,
辣椒炒蘑菇,,,,,
辣椒炒面,,,,,
辣椒炒腊肉,,,,,
辣椒炒苦瓜,,,,,
辣椒炒韭菜,,,,,
辣椒炒金针菇,,,,,
辣椒炒鸡心,,,,,
辣椒炒鸡肉,,,,,
辣椒炒鸡块,,,,,
辣椒炒鸡丁,,,,,
辣椒炒鸡蛋,,,,,
辣椒炒鸡翅,,,,,
辣椒炒火腿肠,,,,,
辣椒炒黄鳝,,,,,
辣椒炒黄瓜,,,,,
辣椒炒胡萝卜,,,,,
辣椒炒红肠,,,,,
辣椒炒蛤蜊,,,,,
辣椒炒番茄,,,,,
辣椒炒豆角,,,,,
辣椒炒豆腐干,,,,,
辣椒炒豆腐,,,,,
辣椒炒地瓜,,,,,
辣椒炒大虾,,,,,
辣椒炒大肠,,,,,
辣椒炒白菜,,,,,
辣椒白菜炒肉,,,,,
辣酱臭豆腐,,,,,
尖椒干煸鸡片,,,,,
辣豆瓣鱼,,,,,
辣泡椒鸭肠,,,,,
辣炒鱿鱼,,,,,
辣炒意大利面,,,,,
辣炒洋葱鱿鱼,,,,,
辣炒羊肉丝,,,,,
辣炒烟薰牛肉,,,,,
辣炒鸭脯肉,,,,,
辣炒香干,,,,,
辣炒蚬子,,,,,
辣炒文蛤,,,,,
辣炒年糕拉面,,,,,
辣炒年糕,,,,,
辣炒毛蛤蜊,,,,,
辣炒空心菜梗,,,,,
辣炒鸡架,,,,,
辣炒花甲,,,,,
炝爆蛤蜊,,,,,
辣炒蛏子,,,,,
辣爆羊肚,,,,,
辣白菜五花肉,,,,,
辣白菜烧虾球,,,,,
辣白菜烧土豆,,,,,
辣白菜烧牛肉,,,,,
辣白菜烧豆腐,,,,,
辣白菜烤五花肉,,,,,
辣白菜鸡汤,,,,,
辣白菜炖排骨,,,,,
辣白菜炖牛腩,,,,,
辣白菜炖豆腐,,,,,
辣白菜炒五花肉,,,,,
辣白菜炒土豆丝,,,,,
辣白菜炒土豆片,,,,,
辣白菜炒培根,,,,,
辣白菜炒牛肉,,,,,
辣白菜炒年糕片,,,,,
辣白菜炒鸡蛋,,,,,
辣白菜炒花蛤,,,,,
辣白菜炒饭,,,,,
辣白菜炒豆腐,,,,,
辣白菜,,,,,
腊鸭焖藕,,,,,
腊味小黄瓜,,,,,
腊味糯米饭,,,,,
腊味荷兰豆,,,,,
腊味合蒸金瓜煲,,,,,
腊味高山娃娃菜,,,,,
腊味饭,,,,,
腊味煲仔饭,,,,,
腊肉蒸芋头,,,,,
腊肉蒸土豆,,,,,
腊肉蒸萝卜丝,,,,,
腊肉蒸鸡块,,,,,
腊肉蒸饭,,,,,
腊肉蒸豆腐,,,,,
腊肉蒸白菜,,,,,
腊肉香肠蒸饭,,,,,
腊肉虾仁炒菠菜,,,,,
腊肉烧小土豆,,,,,
腊肉鳝鱼钵,,,,,
腊肉芹菜炒香干,,,,,
腊肉焖饭,,,,,
腊肉蔬菜炒饭,,,,,
腊肉煎土豆片,,,,,
腊肉鸡蛋酱,,,,,
腊肉红菜苔,,,,,
腊肉腐竹蒸,,,,,
腊肉饭,,,,,
腊肉炖香肠,,,,,
腊肉炖土豆,,,,,
腊肉炖鳝片,,,,,
腊肉炖黄鳝,,,,,
腊肉炖豆腐,,,,,
腊肉炒竹笋,,,,,
腊肉炒洋葱,,,,,
腊肉炒杏鲍菇,,,,,
腊肉炒香干,,,,,
腊肉炒西芹,,,,,
腊肉炒西兰花,,,,,
腊肉炒西葫芦,,,,,
腊肉炒土豆丝,,,,,
腊肉炒土豆片,,,,,
腊肉炒青椒,,,,,
腊肉炒芹菜,,,,,
腊肉炒千张,,,,,
腊肉炒年糕,,,,,
腊肉炒面,,,,,
腊肉炒绿豆芽,,,,,
腊肉炒萝卜,,,,,
腊肉炒芦笋,,,,,
腊肉炒辣椒,,,,,
腊肉炒苦瓜,,,,,
腊肉炒韭菜,,,,,
腊肉炒茭白,,,,,
腊肉炒黄鳝,,,,,
腊肉炒黄瓜,,,,,
腊肉炒胡萝卜丝,,,,,
腊肉炒胡萝卜,,,,,
腊肉炒干豆腐,,,,,
腊肉炒粉条,,,,,
腊肉炒饭,,,,,
腊肉炒豆角,,,,,
腊肉炒冬笋,,,,,
腊肉炒地瓜,,,,,
腊肉炒菜花,,,,,
腊肉炒白菜,,,,,
腊肉煲仔饭,,,,,
腊排骨煮土豆,,,,,
腊鸡腿蒸百叶,,,,,
腊肠蒸小黄鱼,,,,,
腊肠蒸土豆,,,,,
腊肠蒸金针菇,,,,,
腊肠蒸饭,,,,,
腊肠蒸冬瓜,,,,,
腊肠香菇焖饭,,,,,
腊肠香菇炒饭,,,,,
腊肠什锦饭,,,,,
腊肠烧花生玉米,,,,,
腊肠烧腐竹,,,,,
腊肠砂锅饭,,,,,
腊肠鸡蛋卷,,,,,
腊肠饭,,,,,
腊肠炖萝卜,,,,,
腊肠炒洋葱,,,,,
腊肠炒西兰花,,,,,
腊肠炒莴苣,,,,,
腊肠炒秋葵,,,,,
腊肠炒青椒,,,,,
腊肠炒芹菜,,,,,
腊肠炒年糕,,,,,
腊肠炒面,,,,,
腊肠炒毛豆,,,,,
腊肠炒芦笋,,,,,
腊肠炒辣椒,,,,,
腊肠炒胡萝卜,,,,,
腊肠炒荷兰豆,,,,,
腊肠炒饭,,,,,
腊肠炒冬瓜,,,,,
腊肠炒菜花,,,,,
腊肠炒菠菜,,,,,
腊肠煲仔饭,,,,,
腊腊八粥,,,,,
蔬菜烘蛋,,,,,
鸡蛋线面,,,,,
菠菜鸡蛋饼,,,,,
三鲜烩面,,,,,
快手泡椒鸡胗,,,,,
家常炒面,,,,,
酸豇豆炖豆腐,,,,,
胡萝卜炒豆腐丝,,,,,
快手菜炒三丝,,,,,
牛肉酱金针菇,,,,,
垮炖鱼,,,,,
辣酱玉米片,,,,,
苦瓜蒸鱼,,,,,
苦瓜烧鱿鱼,,,,,
苦瓜烧五花肉,,,,,
苦瓜烧排骨,,,,,
苦瓜烧豆腐,,,,,
苦瓜排骨汤,,,,,
苦瓜排骨,,,,,
苦瓜酿土豆泥,,,,,
凉瓜酿肉,,,,,
苦瓜煎太阳蛋,,,,,
苦瓜煎鸡蛋,,,,,
苦瓜煎蛋,,,,,
苦瓜煎鹌鹑蛋,,,,,
苦瓜鸡蛋炒秋葵,,,,,
苦瓜肥肠,,,,,
苦瓜炖排骨,,,,,
苦瓜炒猪肝,,,,,
苦瓜炒榨菜,,,,,
苦瓜炒鱼,,,,,
苦瓜炒香菇,,,,,
苦瓜炒虾仁,,,,,
苦瓜炒虾,,,,,
苦瓜炒土豆,,,,,
苦瓜炒山药,,,,,
苦瓜炒肉丝,,,,,
苦瓜炒肉,,,,,
苦瓜炒培根,,,,,
苦瓜炒牛肉,,,,,
苦瓜炒辣椒,,,,,
苦瓜炒腊肉,,,,,
苦瓜炒腊肠,,,,,
苦瓜炒茭白,,,,,
苦瓜炒尖椒,,,,,
家常苦瓜炒鸡蛋,,,,,
苦瓜炒海带,,,,,
苦瓜炒饭,,,,,
苦瓜炒豆角,,,,,
苦瓜炒豆腐,,,,,
家常苦瓜炒蛋,,,,,
苦瓜抱蛋,,,,,
扣三丝,,,,,
口味虾,,,,,
豉香口水鸡,,,,,
口水鸡腿,,,,,
口蘑蒸鹌鹑蛋,,,,,
口蘑虾,,,,,
口蘑汤,,,,,
口蘑烧土豆,,,,,
口蘑烧肉丸,,,,,
口蘑烧鸡腿,,,,,
口蘑泡肚汤,,,,,
口蘑焖豆腐,,,,,
口蘑炖鱼头,,,,,
口蘑炖鸡蛋,,,,,
口蘑炒肉片,,,,,
口蘑炒肉,,,,,
口蘑炒培根,,,,,
口蘑炒茭白,,,,,
口蘑炒鸡肉,,,,,
口蘑炒鸡蛋,,,,,
开屏鳊鱼,,,,,
空心糯米球,,,,,
蒜蓉粉丝烤香菇,,,,,
烤茄子,,,,,
客家小封肉,,,,,
客家小炒,,,,,
客家咸肉,,,,,
客家甜酒鸡,,,,,
客家酿豆腐,,,,,
胶原蛋白菜,,,,,
客家煎酿茄子,,,,,
鲢鱼汤,,,,,
可乐排骨,,,,,
可乐焖鸡腿,,,,,
可乐鸡腿烧板栗,,,,,
可乐鸡翅,,,,,
可乐饼,,,,,
可乐鹌鹑蛋,,,,,
蚵豆腐蛎,,,,,
烤鱼豆腐,,,,,
烤鱼,,,,,
烤鱿鱼培根,,,,,
烤羊肉串,,,,,
特色烤羊排,,,,,
烤盐焗鸡,,,,,
烤鸭翅根,,,,,
烤杏鲍菇粉丝,,,,,
风干牛肉干,,,,,
凤尾虾球,,,,,
烤箱版烤豆腐,,,,,
烤香菇鹌鹑蛋,,,,,
烤虾,,,,,
烤五花肉土豆片,,,,,
烤兔肉,,,,,
烤土豆洋葱,,,,,
烤土豆翅中,,,,,
烤酸菜五花肉,,,,,
烤薯条,,,,,
烤薯角,,,,,
烤乳鸽,,,,,
烤肉馅香菇青椒,,,,,
烤培根金针菇,,,,,
烤排骨土豆,,,,,
烤排骨饭,,,,,
烤南瓜排骨,,,,,
烤南瓜年糕,,,,,
烤蘑菇白菜,,,,,
烤芦笋土豆,,,,,
烤栗子,,,,,
烤韭菜金针菇,,,,,
烤鸡胸肉丝,,,,,
烤鸡腿鸡翅,,,,,
烤鸡腿饭,,,,,
爱上烤鸡腿,,,,,
烤鸡翅鸡丁,,,,,
烤花蛤金针菇,,,,,
烤红薯鸡翅,,,,,
烤红薯,,,,,
蒸烧鸭,,,,,
烤豆腐皮蔬菜卷,,,,,
烤大虾,,,,,
烤串串虾,,,,,
培根鸡肉卷,,,,,
凯撒沙拉,,,,,
水果炒肉,,,,,
酸辣白萝卜,,,,,
酸菜炒鱼,,,,,
酸辣粉,,,,,
开水白菜,,,,,
开屏武昌鱼,,,,,
咖哩粉丝虾,,,,,
咖喱鱿鱼卷,,,,,
咖喱虾,,,,,
咖喱乌冬面,,,,,
咖喱土豆牛肉,,,,,
咖喱土豆,,,,,
咖喱素什锦,,,,,
咖喱蔬菜虾,,,,,
咖喱牛肉汤,,,,,
咖喱牛腩,,,,,
咖喱牛肋条,,,,,
咖喱马铃薯,,,,,
咖喱鸡肉焗饭,,,,,
咖喱鸡胸焗饭,,,,,
咖喱鸡肉饭,,,,,
咖喱鸡肉,,,,,
咖喱鸡排,,,,,
咖喱鸡块,,,,,
咖喱火锅咖喱,,,,,
咖喱粉丝蟹,,,,,
咖喱大虾,,,,,
咖喱鹌鹑蛋,,,,,
咖喱咖喱,,,,,
菌菇时蔬薄饼,,,,,
菌菇焖饭烧饭,,,,,
菌菇鸡煲,,,,,
菌菇炒肉片,,,,,
蕨菜炒酸菜肉片,,,,,
蕨菜炒肉丝,,,,,
蕨菜炒肉,,,,,
蕨菜炒腊肉,,,,,
芹菜炒火腿,,,,,
卷筒粉蒸肉,,,,,
卷尖,,,,,
焗烤扇贝菠菜,,,,,
焗烤南瓜饭,,,,,
菊花鱼,,,,,
菊花茄子,,,,,
菊花鲈鱼,,,,,
酒蒸蛤蜊,,,,,
酒糟鱼,,,,,
酒香鸭丝,,,,,
酸甜糖醋带鱼,,,,,
酒香螺,,,,,
酒香金花菜,,,,,
酸辣酒香银鳕鱼,,,,,
酒酿鹌鹑蛋,,,,,
酒煎蛤蜊,,,,,
酒鬼花生,,,,,
酒肉,,,,,
韭黄鳝糊,,,,,
韭黄木耳炒肉丝,,,,,
韭黄煎蛋,,,,,
韭黄炒猪肝,,,,,
韭黄炒鸭肠,,,,,
韭黄炒杏鲍菇,,,,,
韭黄炒虾,,,,,
韭黄炒肉丝,,,,,
韭黄炒肉片,,,,,
韭黄炒牛肉,,,,,
韭黄炒腊肠,,,,,
韭黄炒鸡丝,,,,,
韭黄炒鸡蛋,,,,,
韭菜猪肉蒸包,,,,,
韭菜蒸鲫鱼,,,,,
韭菜馅饺子,,,,,
爆炒韭菜鲜虾,,,,,
韭菜苔炒鸡蛋,,,,,
韭菜水饺,,,,,
韭菜烧鲫鱼,,,,,
韭菜烧腐竹,,,,,
韭菜烧豆腐,,,,,
韭菜烧带鱼,,,,,
韭菜青椒炒河虾,,,,,
韭菜煎鸡蛋,,,,,
韭菜煎豆腐,,,,,
韭菜鸡蛋蒸饼,,,,,
韭菜鸡蛋汤,,,,,
韭菜鸡蛋素馅饼,,,,,
韭菜鸡蛋生煎包,,,,,
韭菜鸡蛋盒子,,,,,
韭菜花洋葱炒肉,,,,,
韭菜花腌,,,,,
韭菜花炒猪肉,,,,,
韭菜花炒鱼饼,,,,,
韭菜花炒鸡丁,,,,,
韭菜花炒蛤蜊肉,,,,,
韭菜花炒带鱼,,,,,
韭菜炖鸡蛋,,,,,
韭菜炒竹笋,,,,,
韭菜烧猪血,,,,,
韭菜炒肝片,,,,,
韭菜炒鱿鱼,,,,,
韭菜炒鸭血,,,,,
韭菜炒杏鲍菇,,,,,
韭菜炒香肠,,,,,
韭菜炒虾仁,,,,,
韭菜炒虾,,,,,
韭菜炒土豆丝,,,,,
韭菜炒土豆片,,,,,
韭菜炒土豆,,,,,
韭菜炒素鸡,,,,,
韭菜炒山药,,,,,
韭菜炒肉丝,,,,,
韭菜炒千张,,,,,
韭菜炒平菇,,,,,
韭菜炒年糕,,,,,
韭菜炒南瓜,,,,,
韭菜炒蘑菇,,,,,
韭菜炒面,,,,,
韭菜炒绿豆芽,,,,,
爆炒韭菜豆芽,,,,,
韭菜炒辣椒,,,,,
韭菜炒腊肠,,,,,
韭菜炒蕨菜,,,,,
韭菜炒金针菇,,,,,
韭菜炒鸡蛋,,,,,
韭菜炒黄鳝,,,,,
韭菜炒花蛤肉,,,,,
韭菜炒核桃,,,,,
韭菜炒鸽子,,,,,
韭菜炒干豆腐,,,,,
韭菜炒粉条,,,,,
韭菜炒鹅蛋,,,,,
韭菜炒豆腐丝,,,,,
韭菜炒豆腐干,,,,,
韭菜炒豆腐,,,,,
韭菜炒大虾,,,,,
韭菜炒臭豆腐,,,,,
韭菜炒菜花,,,,,
清蒸鹌鹑,,,,,
九转大肠,,,,,
九层塔椒盐虾,,,,,
荆芥拌黄瓜,,,,,
经典培根卷,,,,,
京味儿木须肉,,,,,
京酱肉丝拌面,,,,,
京酱肉丝,,,,,
京酱芥兰菜,,,,,
京糕莲子荸荠粥,,,,,
京都排骨,,,,,
京葱鸡块,,,,,
劲爆水煮鱼,,,,,
劲爆鸡米花,,,,,
津味宫爆鸡丁,,,,,
金针酸菜肥牛煲,,,,,
金针培根卷,,,,,
金针花开,,,,,
金针菇煮鲫鱼,,,,,
金针菇煮粉丝,,,,,
金针菇蒸虾,,,,,
金针菇蒸肉丸,,,,,
金针菇蒸粉丝,,,,,
金针菇烧豆腐,,,,,
金针菇烤培根,,,,,
金针菇烤鸡翅,,,,,
金针菇鸡蛋炒饭,,,,,
金针菇肥牛,,,,,
金针菇炖鸡腿,,,,,
金针菇炒腰花,,,,,
金针菇炒羊肉,,,,,
金针菇炒香肠,,,,,
金针菇炒苋菜,,,,,
金针菇炒西兰花,,,,,
金针菇炒西红柿,,,,,
金针菇炒丝瓜,,,,,
金针菇炒肉丝,,,,,
金针菇炒培根,,,,,
金针菇烧牛肉,,,,,
金针菇炒年糕,,,,,
金针菇炒辣椒,,,,,
金针菇炒鸡丝,,,,,
金针菇炒鸡蛋,,,,,
金针菇炒花蛤,,,,,
金针菇炒番茄,,,,,
金针菇炒豆腐,,,,,
金针菇,,,,,
金银蒜蒸鲜鲍,,,,,
金银满屋,,,,,
金线鱼浓汤,,,,,
金窝窝绿豆豆,,,,,
素什锦鸡汁,,,,,
金蒜皮蛋浸菠菜,,,,,
金丝鱿鱼,,,,,
金丝虾圆,,,,,
金丝韭菜,,,,,
金丝饼,,,,,
金沙玉米,,,,,
芝士饭团,,,,,
土豆丝煎饼,,,,,
鸡蛋炒饭,,,,,
米蔬菜虾滑粥,,,,,
金毛狮子鱼,,,,,
金毛脆皮虾,,,,,
金华火腿炒芹菜,,,,,
金瓜排骨,,,,,
金瓜粉蒸肉,,,,,
金菇爆肥牛,,,,,
火爆大头菜,,,,,
金钩鲍,,,,,
金葱烧野鸭,,,,,
金蚕吐丝,,,,,
金边白菜,,,,,
芥末墩儿,,,,,
芥末白菜,,,,,
芥蓝牛肉,,,,,
芥兰炒腊肠,,,,,
芥兰拌核桃,,,,,
干烧鲳鱼,,,,,
芥菜炒肉丝,,,,,
芥菜摊鸡蛋,,,,,
芥菜炒饭,,,,,
芥菜炒豆腐果,,,,,
节节登高,,,,,
蟹黄蛋,,,,,
泡面拌面,,,,,
叫化童子鸡,,,,,
鸡汁焦香土豆饼,,,,,
焦熘牛肉段,,,,,
焦熘里脊,,,,,
焦熘肥肠,,,,,
焦溜丸子,,,,,
椒汁肥牛,,,,,
椒盐猪肚,,,,,
椒盐芝麻酱烧饼,,,,,
椒盐玉米片,,,,,
椒盐玉米粒,,,,,
椒盐玉米炒虾仁,,,,,
椒盐鱼条,,,,,
椒盐鸭舌,,,,,
椒盐杏鲍菇,,,,,
椒盐鲜鱿,,,,,
椒盐虾,,,,,
椒盐土豆,,,,,
椒盐塘鱼片,,,,,
椒盐青虾,,,,,
椒盐排骨,,,,,
椒盐寸排,,,,,
椒盐麻饼,,,,,
椒盐基围虾,,,,,
椒盐河蟹,,,,,
椒盐海虾,,,,,
椒盐凤尾虾,,,,,
腐乳空心菜,,,,,
椒丝腐乳通菜,,,,,
椒麻桃仁,,,,,
椒麻四季豆,,,,,
椒麻鸡,,,,,
椒麻肚丝,,,,,
椒爆蛏头,,,,,
胶东酥鱼,,,,,
浇汁草鱼,,,,,
浇油鳜鱼,,,,,
茭白烧排骨,,,,,
茭白烧里脊,,,,,
茭白烧腊肉,,,,,
茭白肉丁,,,,,
茭白青椒炒里脊,,,,,
茭白炒猪肝,,,,,
茭白炒鱿鱼,,,,,
茭白炒杏鲍菇,,,,,
茭白炒香肠,,,,,
茭白炒虾,,,,,
茭白炒五花肉,,,,,
茭笋炒肉丝,,,,,
茭白炒青椒,,,,,
茭白炒培根,,,,,
茭笋炒毛豆,,,,,
茭白炒腊肉,,,,,
茭白炒腊肠,,,,,
茭白笋炒鸡胸,,,,,
茭白炒鸡肉,,,,,
茭白炒鸡蛋,,,,,
茭白炒胡萝卜,,,,,
酱猪蹄子,,,,,
酱猪蹄,,,,,
酱猪肉,,,,,
酱肘花拍黄瓜,,,,,
酱汁肘子,,,,,
酱汁蒸虎皮凤爪,,,,,
酱汁三文鱼头,,,,,
酱汁韭菜淮山,,,,,
酱汁鸽子,,,,,
酱油嫩鸡,,,,,
酱油黑椒蘑菇,,,,,
酱油炒饭,,,,,
酱油白菜炖豆腐,,,,,
酱腌紫茄,,,,,
酱鸭,,,,,
酱香腔骨,,,,,
酱香卤肉饭,,,,,
酱香扁豆,,,,,
酱烧杏鲍菇鸡心,,,,,
酱烧小土豆,,,,,
酱烧小黄鱼,,,,,
酱烧黄鱼,,,,,
酱烧胡萝卜,,,,,
酱烧肥肠,,,,,
酱烧大黄鱼,,,,,
酱烧比目鱼,,,,,
酱肉蒸高笋,,,,,
酱茄子土豆,,,,,
酱茄子,,,,,
酱牛肉牛肚,,,,,
酱牛肉粉丝,,,,,
凉切酱牛肉,,,,,
酱焖小鲍鱼,,,,,
酱焖泥鳅,,,,,
酱焖鲫鱼豆腐,,,,,
酱焖嘎牙子,,,,,
酱焖白豆腐干,,,,,
酱萝卜,,,,,
酱烤彩椒鸡肉串,,,,,
酱鲫鱼,,,,,
酱鸡爪,,,,,
酱骨架,,,,,
酱炖跳跳鱼,,,,,
酱烧冬瓜,,,,,
酱大棒骨,,,,,
酱炒鸡心,,,,,
酱爆肉丝尖椒,,,,,
酱爆肉,,,,,
酱爆茄子,,,,,
酱香烧茄子,,,,,
酱爆回锅肉,,,,,
酱爆豆角,,,,,
酱板鸭,,,,,
豇豆蒸面,,,,,
姜汁虾爬子,,,,,
姜汁热窝鸡,,,,,
姜汁热味鸡,,,,,
姜汁青口,,,,,
姜汁藕片,,,,,
姜汁牛肉饭,,,,,
姜汁毛蛤蜊,,,,,
姜汁海虾,,,,,
姜汁豆腐,,,,,
特色姜母鸭,,,,,
姜葱蒸带鱼,,,,,
姜葱炒蟹,,,,,
姜葱炒生蚝,,,,,
姜葱炒龙虾,,,,,
姜葱炒花蟹,,,,,
姜葱炒花蛤,,,,,
姜葱爆猪肝,,,,,
姜香鸭丝,,,,,
姜爆鸭肉,,,,,
姜爆鸡,,,,,
农家烧花菜,,,,,
江南卤鸭,,,,,
健身鸡肉干,,,,,
牛肉洋葱炒青椒,,,,,
栗子羹,,,,,
健腐肉,,,,,
简易牛排套餐,,,,,
牛排沙拉,,,,,
番茄酱意大利面,,,,,
秘制奥尔良烤翅,,,,,
咖喱蟹,,,,,
培根胡萝卜煎饼,,,,,
秋葵鸭蛋,,,,,
葱油烙饼,,,,,
自制茶叶蛋,,,,,
琥珀核桃,,,,,
特色辣子鸡,,,,,
卤鸡蛋酱,,,,,
豆芽炒粉丝,,,,,
简单红烧虾,,,,,
鸡胸炒西兰花,,,,,
辣酱海鲜饭,,,,,
南瓜小米燕麦糊,,,,,
煎糟鱼,,,,,
煎玉米饼,,,,,
煎烧毛豆腐,,,,,
煎青椒鸡块,,,,,
煎烹大虾,,,,,
煎酿鱿鱼筒,,,,,
煎酿茄子,,,,,
煎酿尖椒,,,,,
煎面鱼,,,,,
煎焖苦瓜,,,,,
煎椒盐豆腐,,,,,
煎夹沙香蕉,,,,,
煎鸡肉三明治,,,,,
煎鸡蛋火腿,,,,,
煎豆腐鱼,,,,,
煎豆腐炒青菜,,,,,
煎大虾,,,,,
煎葱饼,,,,,
煎饼果子,,,,,
煎扒狮子头,,,,,
煎扒鲭鱼头尾,,,,,
尖椒炸鸡蛋,,,,,
尖椒洋葱炒松花蛋,,,,,
尖椒兔丁,,,,,
尖椒烧鸭,,,,,
尖椒烧牛肉,,,,,
尖椒烧腐竹,,,,,
尖椒烧豆腐,,,,,
尖椒千张炒腊肠,,,,,
尖椒皮蛋,,,,,
尖椒牛柳,,,,,
尖椒酿肉,,,,,
尖椒木耳炒蛋,,,,,
尖椒酱牛肉,,,,,
尖椒鸡蛋酱,,,,,
尖椒火腿炒蛋,,,,,
尖椒干豆腐,,,,,
尖椒炖鱼,,,,,
尖椒干豆腐炒肉,,,,,
尖椒炒鲜笋,,,,,
尖椒炒猪蹄,,,,,
尖椒炒猪肝,,,,,
尖椒炒猪肚,,,,,
尖椒炒玉米,,,,,
尖椒炒鱿鱼,,,,,
尖椒炒羊肉,,,,,
尖椒炒香菇,,,,,
尖椒炒蚬子,,,,,
尖椒炒土豆丝,,,,,
尖椒炒土豆片,,,,,
尖椒炒土豆,,,,,
尖椒炒丝瓜,,,,,
尖椒炒肉丝,,,,,
尖椒炒肉片,,,,,
尖椒炒茄子,,,,,
尖椒炒千张,,,,,
尖椒炒牛肉,,,,,
尖椒炒年糕,,,,,
尖椒炒萝卜缨,,,,,
尖椒炒腊肉,,,,,
尖椒炒腊肠,,,,,
尖椒炒苦瓜,,,,,
尖椒炒口蘑,,,,,
尖椒炒韭菜,,,,,
尖椒炒鲫鱼,,,,,
尖椒炒鸡胗,,,,,
尖椒炒鸡胸,,,,,
尖椒炒鸡丁,,,,,
尖椒炒火腿,,,,,
尖椒炒干豆腐,,,,,
尖椒炒肥肠,,,,,
尖椒炒豆腐丝,,,,,
尖椒炒冬瓜,,,,,
尖椒炒白菜,,,,,
嘉兴粽子,,,,,
家乡小炒肉,,,,,
家乡剁辣椒,,,,,
家常红烧鸡块,,,,,
家庭火锅,,,,,
秘制卤肉饭,,,,,
家庭版地三鲜,,,,,
家焖黄鱼,,,,,
家常炸丸子,,,,,
家常油饼,,,,,
家常羊肉丝,,,,,
家常土豆白菜炖,,,,,
家常酸菜鱼,,,,,
家常水煮毛豆,,,,,
家常什锦炒饭,,,,,
家常烧武昌鱼,,,,,
家常烧鲫鱼,,,,,
家常烧豆腐,,,,,
家常烧带鱼,,,,,
