食物名称,能量,蛋白质,脂肪,碳水化合物,serving_grams
家常青椒土豆片,,,,,
尖椒黄瓜炒肉,,,,,
西红柿炒鲜蘑,,,,,
番茄汁烧菜花,,,,,
辣椒煸肉丝,,,,,
番茄炒老豆腐,,,,,
家常番茄炒鸡蛋,,,,,
番茄烩花菜,,,,,
西红柿豆腐,,,,,
鲫鱼西红柿汤,,,,,
番茄烧南瓜,,,,,
番茄豆腐煲,,,,,
青瓜炒猪肉片,,,,,
凉拌拍黄瓜,,,,,
鲜拌黄瓜,,,,,
黄瓜拌干豆腐,,,,,
青瓜炒肉,,,,,
鸡丁炒黄瓜,,,,,
黄瓜拌鸡丝,,,,,
冬瓜海米汤,,,,,
烧冬瓜,,,,,
火腿烧冬瓜,,,,,
冬瓜烩火腿,,,,,
冬瓜片汆肉丸,,,,,
清炒凉瓜,,,,,
苦瓜大骨汤,,,,,
凉瓜抱蛋,,,,,
家常拌苦瓜,,,,,
凉瓜肉丝,,,,,
苦瓜鸡蛋,,,,,
豆豉凉瓜炒牛肉,,,,,
苦瓜炒藕片,,,,,
凉瓜炒肉片,,,,,
苦瓜拌鸡胸,,,,,
凉瓜烧排骨,,,,,
丝瓜摊鸡蛋,,,,,
虾米丝瓜汤,,,,,
丝瓜烩虾球,,,,,
鲜鲈鱼丝瓜汤,,,,,
丝瓜烧牛肉,,,,,
丝瓜炒青豆,,,,,
黄瓜拌支竹,,,,,
家常冬瓜丸子汤,,,,,
丝瓜烩豆腐,,,,,
丝瓜滑蛋,,,,,
香浓南瓜小米粥,,,,,
黄瓜番茄炒鸡蛋,,,,,
香脆拍黄瓜,,,,,
青瓜鸡丁,,,,,
青瓜白肉,,,,,
松花蛋拌黄瓜,,,,,
特色凉拌黄瓜,,,,,
竹笋炒黄瓜,,,,,
青瓜炒鸡肉,,,,,
角瓜炒鸡肉,,,,,
蒜香西葫芦炒番茄,,,,,
酸辣小瓜,,,,,
老黄瓜炒土豆,,,,,
冬瓜烧鸭肉,,,,,
冬瓜汆肉丸,,,,,
家常醋溜西葫芦,,,,,
素炒西葫芦,,,,,
西葫芦烩香菇,,,,,
角瓜炒牛肉,,,,,
蘑菇扒青菜,,,,,
爆炒蘑菇韭菜,,,,,
